type,name,population_centre_size_group,population_centre_type,province,prov_code,location_label,geocode_query,population_2016
Population centre,Hamilton,"Large urban population centre (100,000 or more)",Core,Ontario,ON,"Hamilton, ON","Hamilton, ON, Canada",693645
Population centre,Hanover,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Hanover, ON","Hanover, ON, Canada",7413
Population centre,Harriston,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Harriston, ON","Harriston, ON, Canada",1797
Population centre,Harrow,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Harrow, ON","Harrow, ON, Canada",2710
Population centre,Hastings,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Hastings, ON","Hastings, ON, Canada",1115
Population centre,Havelock,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Havelock, ON","Havelock, ON, Canada",1175
Population centre,Hawkesbury (Ontario part),,,Ontario,ON,"Hawkesbury (Ontario part), ON","Hawkesbury (Ontario part), ON, Canada",10055
Population centre,Hearst,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Hearst, ON","Hearst, ON, Canada",3835
Population centre,Huntsville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Huntsville, ON","Huntsville, ON, Canada",6482
Population centre,Ilderton,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Ilderton, ON","Ilderton, ON, Canada",1856
Population centre,Ingersoll,"Small population centre (1,000 to 29,999)",Core,Ontario,ON,"Ingersoll, ON","Ingersoll, ON, Canada",12587
Population centre,Ingleside,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Ingleside, ON","Ingleside, ON, Canada",1384
Population centre,Innisfil,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Innisfil, ON","Innisfil, ON, Canada",23992
Population centre,Iroquois,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Iroquois, ON","Iroquois, ON, Canada",1027
Population centre,Iroquois Falls,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Iroquois Falls, ON","Iroquois Falls, ON, Canada",2955
Population centre,Jarvis,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Jarvis, ON","Jarvis, ON, Canada",1037
Population centre,Kanata,"Large urban population centre (100,000 or more)",Fringe,Ontario,ON,"Kanata, ON","Kanata, ON, Canada",117304
Population centre,Kapuskasing,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Kapuskasing, ON","Kapuskasing, ON, Canada",7378
Population centre,Kemptville,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Kemptville, ON","Kemptville, ON, Canada",3911
Population centre,Kenora,"Small population centre (1,000 to 29,999)",Core,Ontario,ON,"Kenora, ON","Kenora, ON, Canada",10687
Population centre,Keswick - Elmhurst Beach,"Small population centre (1,000 to 29,999)",Secondary core,Ontario,ON,"Keswick - Elmhurst Beach, ON","Keswick - Elmhurst Beach, ON, Canada",26757
Population centre,Kincardine,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Kincardine, ON","Kincardine, ON, Canada",8315
Population centre,King,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"King, ON","King, ON, Canada",6970
Population centre,Kingston,"Large urban population centre (100,000 or more)",Core,Ontario,ON,"Kingston, ON","Kingston, ON, Canada",117660
Population centre,Kirkland Lake,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Kirkland Lake, ON","Kirkland Lake, ON, Canada",6305
Population centre,Kitchener,"Large urban population centre (100,000 or more)",Core,Ontario,ON,"Kitchener, ON","Kitchener, ON, Canada",470015
Population centre,L'Orignal,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"L'Orignal, ON","L'Orignal, ON, Canada",1450
Population centre,Lakefield,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Lakefield, ON","Lakefield, ON, Canada",2753
Population centre,Leamington,"Medium population centre (30,000 to 99,999)",Core,Ontario,ON,"Leamington, ON","Leamington, ON, Canada",32991
Population centre,Limoges,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Limoges, ON","Limoges, ON, Canada",2048
Population centre,Lindsay,"Small population centre (1,000 to 29,999)",Core,Ontario,ON,"Lindsay, ON","Lindsay, ON, Canada",20713
Population centre,Listowel,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Listowel, ON","Listowel, ON, Canada",7530
Population centre,Little Current,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Little Current, ON","Little Current, ON, Canada",1558
Population centre,Lively,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Lively, ON","Lively, ON, Canada",5608
Population centre,London,"Large urban population centre (100,000 or more)",Core,Ontario,ON,"London, ON","London, ON, Canada",383437
Population centre,Long Sault,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Long Sault, ON","Long Sault, ON, Canada",1779
Population centre,Longlac,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Longlac, ON","Longlac, ON, Canada",1434
Population centre,Lucan,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Lucan, ON","Lucan, ON, Canada",2541
Population centre,Lucknow,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Lucknow, ON","Lucknow, ON, Canada",1121
Population centre,Madoc,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Madoc, ON","Madoc, ON, Canada",1535
Population centre,Manitouwadge,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Manitouwadge, ON","Manitouwadge, ON, Canada",1708
Population centre,Manotick Station,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Manotick Station, ON","Manotick Station, ON, Canada",5738
Population centre,Marathon,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Marathon, ON","Marathon, ON, Canada",3138
Population centre,Marchmont - Bass Lake,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Marchmont - Bass Lake, ON","Marchmont - Bass Lake, ON, Canada",1191
Population centre,Markdale,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Markdale, ON","Markdale, ON, Canada",1216
Population centre,Marmora,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Marmora, ON","Marmora, ON, Canada",1629
Population centre,Mattawa,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Mattawa, ON","Mattawa, ON, Canada",1786
Population centre,McGregor,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"McGregor, ON","McGregor, ON, Canada",1859
Population centre,Meaford,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Meaford, ON","Meaford, ON, Canada",4910
Population centre,Metcalfe,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Metcalfe, ON","Metcalfe, ON, Canada",1776
Population centre,Midland,"Small population centre (1,000 to 29,999)",Core,Ontario,ON,"Midland, ON","Midland, ON, Canada",24353
Population centre,Mildmay,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Mildmay, ON","Mildmay, ON, Canada",1219
Population centre,Millbrook,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Millbrook, ON","Millbrook, ON, Canada",1695
Population centre,Milton,"Large urban population centre (100,000 or more)",Secondary core,Ontario,ON,"Milton, ON","Milton, ON, Canada",101715
Population centre,Milverton,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Milverton, ON","Milverton, ON, Canada",1576
Population centre,Mississauga Beach,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Mississauga Beach, ON","Mississauga Beach, ON, Canada",4662
Population centre,Mitchell,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Mitchell, ON","Mitchell, ON, Canada",4573
Population centre,Moosonee,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Moosonee, ON","Moosonee, ON, Canada",1405
Population centre,Morrisburg,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Morrisburg, ON","Morrisburg, ON, Canada",2385
Population centre,Mount Albert,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Mount Albert, ON","Mount Albert, ON, Canada",4925
Population centre,Mount Brydges,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Mount Brydges, ON","Mount Brydges, ON, Canada",1842
Population centre,Mount Forest,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Mount Forest, ON","Mount Forest, ON, Canada",4643
Population centre,Napanee,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Napanee, ON","Napanee, ON, Canada",7439
Population centre,New Dundee,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"New Dundee, ON","New Dundee, ON, Canada",1119
Population centre,New Hamburg,"Small population centre (1,000 to 29,999)",Secondary core,Ontario,ON,"New Hamburg, ON","New Hamburg, ON, Canada",13595
Population centre,New Liskeard,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"New Liskeard, ON","New Liskeard, ON, Canada",4402
Population centre,Newcastle,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Newcastle, ON","Newcastle, ON, Canada",9167
Population centre,Nobleton,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Nobleton, ON","Nobleton, ON, Canada",4614
Population centre,North Bay,"Medium population centre (30,000 to 99,999)",Core,Ontario,ON,"North Bay, ON","North Bay, ON, Canada",50396
Population centre,Norwich,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Norwich, ON","Norwich, ON, Canada",2852
Population centre,Norwood,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Norwood, ON","Norwood, ON, Canada",1380
Population centre,Omemee,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Omemee, ON","Omemee, ON, Canada",1271
Population centre,Orangeville,"Medium population centre (30,000 to 99,999)",Secondary core,Ontario,ON,"Orangeville, ON","Orangeville, ON, Canada",30734
Population centre,Orillia,"Medium population centre (30,000 to 99,999)",Core,Ontario,ON,"Orillia, ON","Orillia, ON, Canada",31128
Population centre,Oro Station - Hawkestone,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Oro Station - Hawkestone, ON","Oro Station - Hawkestone, ON, Canada",1691
Population centre,Orono,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Orono, ON","Orono, ON, Canada",1105
Population centre,Osgoode,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Osgoode, ON","Osgoode, ON, Canada",2578
Population centre,Oshawa,"Large urban population centre (100,000 or more)",Core,Ontario,ON,"Oshawa, ON","Oshawa, ON, Canada",308875
Population centre,Ottawa - Gatineau (Ontario part),,,Ontario,ON,"Ottawa - Gatineau (Ontario part), ON","Ottawa - Gatineau (Ontario part), ON, Canada",735706
Population centre,Owen Sound,"Small population centre (1,000 to 29,999)",Core,Ontario,ON,"Owen Sound, ON","Owen Sound, ON, Canada",22032
Population centre,Paisley,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Paisley, ON","Paisley, ON, Canada",1045
Population centre,Palgrave,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Palgrave, ON","Palgrave, ON, Canada",1044
Population centre,Palmerston,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Palmerston, ON","Palmerston, ON, Canada",2624
Population centre,Paris,"Small population centre (1,000 to 29,999)",Secondary core,Ontario,ON,"Paris, ON","Paris, ON, Canada",12310
Population centre,Parkhill,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Parkhill, ON","Parkhill, ON, Canada",1737
Population centre,Parry Sound,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Parry Sound, ON","Parry Sound, ON, Canada",6321
Population centre,Pembroke,"Small population centre (1,000 to 29,999)",Core,Ontario,ON,"Pembroke, ON","Pembroke, ON, Canada",15940
Population centre,Perth,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Perth, ON","Perth, ON, Canada",5573
Population centre,Petawawa,"Small population centre (1,000 to 29,999)",Core,Ontario,ON,"Petawawa, ON","Petawawa, ON, Canada",13701
Population centre,Peterborough,"Medium population centre (30,000 to 99,999)",Core,Ontario,ON,"Peterborough, ON","Peterborough, ON, Canada",82094
Population centre,Petrolia,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Petrolia, ON","Petrolia, ON, Canada",5375
Population centre,Picton,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Picton, ON","Picton, ON, Canada",4702
Population centre,Plattsville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Plattsville, ON","Plattsville, ON, Canada",1366
Population centre,Porcupine,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Porcupine, ON","Porcupine, ON, Canada",4716
Population centre,Port Colborne,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Port Colborne, ON","Port Colborne, ON, Canada",15037
Population centre,Port Dover,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Port Dover, ON","Port Dover, ON, Canada",6161
Population centre,Port Elgin,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Port Elgin, ON","Port Elgin, ON, Canada",7862
Population centre,Port Hope,"Small population centre (1,000 to 29,999)",Core,Ontario,ON,"Port Hope, ON","Port Hope, ON, Canada",12587
Population centre,Port Perry,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Port Perry, ON","Port Perry, ON, Canada",9453
Population centre,Port Rowan,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Port Rowan, ON","Port Rowan, ON, Canada",1102
Population centre,Port Stanley,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Port Stanley, ON","Port Stanley, ON, Canada",2148
Population centre,Powassan,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Powassan, ON","Powassan, ON, Canada",1343
Population centre,Prescott,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Prescott, ON","Prescott, ON, Canada",3965
Population centre,Red Lake,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Red Lake, ON","Red Lake, ON, Canada",1177
Population centre,Renfrew,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Renfrew, ON","Renfrew, ON, Canada",8152
Population centre,Richmond,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Richmond, ON","Richmond, ON, Canada",4055
Population centre,Ridgetown,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Ridgetown, ON","Ridgetown, ON, Canada",3002
Population centre,Rockland,"Small population centre (1,000 to 29,999)",Secondary core,Ontario,ON,"Rockland, ON","Rockland, ON, Canada",12302
Population centre,Rockwood,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Rockwood, ON","Rockwood, ON, Canada",4629
Population centre,Russell,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Russell, ON","Russell, ON, Canada",4464
Population centre,Sarnia,"Medium population centre (30,000 to 99,999)",Core,Ontario,ON,"Sarnia, ON","Sarnia, ON, Canada",72125
Population centre,Sault Ste. Marie,"Medium population centre (30,000 to 99,999)",Core,Ontario,ON,"Sault Ste. Marie, ON","Sault Ste. Marie, ON, Canada",66313
Population centre,Schomberg,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Schomberg, ON","Schomberg, ON, Canada",2691
Population centre,Seaforth,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Seaforth, ON","Seaforth, ON, Canada",2680
Population centre,Shelburne,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Shelburne, ON","Shelburne, ON, Canada",8126
Population centre,Simcoe,"Small population centre (1,000 to 29,999)",Core,Ontario,ON,"Simcoe, ON","Simcoe, ON, Canada",13922
Population centre,Sioux Lookout,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Sioux Lookout, ON","Sioux Lookout, ON, Canada",2941
Population centre,Smiths Falls,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Smiths Falls, ON","Smiths Falls, ON, Canada",8885
Population centre,Smithville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Smithville, ON","Smithville, ON, Canada",5489
Population centre,Southampton,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Southampton, ON","Southampton, ON, Canada",3678
Population centre,St. Catharines - Niagara Falls,"Large urban population centre (100,000 or more)",Core,Ontario,ON,"St. Catharines - Niagara Falls, ON","St. Catharines - Niagara Falls, ON, Canada",229246
Population centre,St. George,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"St. George, ON","St. George, ON, Canada",3255
Population centre,St. Jacobs,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"St. Jacobs, ON","St. Jacobs, ON, Canada",1988
Population centre,St. Marys,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"St. Marys, ON","St. Marys, ON, Canada",6951
Population centre,St. Thomas,"Medium population centre (30,000 to 99,999)",Secondary core,Ontario,ON,"St. Thomas, ON","St. Thomas, ON, Canada",41813
Population centre,Stayner,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Stayner, ON","Stayner, ON, Canada",4029
Population centre,Stevensville,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Stevensville, ON","Stevensville, ON, Canada",1179
Population centre,Stirling,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Stirling, ON","Stirling, ON, Canada",2030
Population centre,Stoney Point,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Stoney Point, ON","Stoney Point, ON, Canada",1087
Population centre,Stouffville,"Medium population centre (30,000 to 99,999)",Secondary core,Ontario,ON,"Stouffville, ON","Stouffville, ON, Canada",32634
Population centre,Stratford,"Medium population centre (30,000 to 99,999)",Core,Ontario,ON,"Stratford, ON","Stratford, ON, Canada",31053
Population centre,Strathroy,"Small population centre (1,000 to 29,999)",Secondary core,Ontario,ON,"Strathroy, ON","Strathroy, ON, Canada",14401
Population centre,Sturgeon Falls,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Sturgeon Falls, ON","Sturgeon Falls, ON, Canada",6798
Population centre,Sudbury,"Medium population centre (30,000 to 99,999)",Core,Ontario,ON,"Sudbury, ON","Sudbury, ON, Canada",88054
Population centre,Sunderland,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Sunderland, ON","Sunderland, ON, Canada",1243
Population centre,Sutton,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Sutton, ON","Sutton, ON, Canada",7531
Population centre,Tavistock,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Tavistock, ON","Tavistock, ON, Canada",2955
Population centre,Tay,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Tay, ON","Tay, ON, Canada",5408
Population centre,Thamesford,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Thamesford, ON","Thamesford, ON, Canada",2116
Population centre,Thessalon,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Thessalon, ON","Thessalon, ON, Canada",1175
Population centre,Thornbury,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Thornbury, ON","Thornbury, ON, Canada",2485
Population centre,Thunder Bay,"Medium population centre (30,000 to 99,999)",Core,Ontario,ON,"Thunder Bay, ON","Thunder Bay, ON, Canada",93952
Population centre,Tilbury,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Tilbury, ON","Tilbury, ON, Canada",4768
Population centre,Tillsonburg,"Small population centre (1,000 to 29,999)",Core,Ontario,ON,"Tillsonburg, ON","Tillsonburg, ON, Canada",15594
Population centre,Timmins,"Small population centre (1,000 to 29,999)",Core,Ontario,ON,"Timmins, ON","Timmins, ON, Canada",29331
Population centre,Toronto,"Large urban population centre (100,000 or more)",Core,Ontario,ON,"Toronto, ON","Toronto, ON, Canada",5429524
Population centre,Tottenham,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Tottenham, ON","Tottenham, ON, Canada",5143
Population centre,Tweed,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Tweed, ON","Tweed, ON, Canada",1701
Population centre,Uxbridge,"Small population centre (1,000 to 29,999)",Secondary core,Ontario,ON,"Uxbridge, ON","Uxbridge, ON, Canada",11832
Population centre,Valley East,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Valley East, ON","Valley East, ON, Canada",17451
Population centre,Vankleek Hill,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Vankleek Hill, ON","Vankleek Hill, ON, Canada",1742
Population centre,Vineland,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Vineland, ON","Vineland, ON, Canada",4074
Population centre,Virgil,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Virgil, ON","Virgil, ON, Canada",2937
Population centre,Walkerton,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Walkerton, ON","Walkerton, ON, Canada",4517
Population centre,Wallaceburg,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Wallaceburg, ON","Wallaceburg, ON, Canada",10098
Population centre,Wasaga Beach,"Small population centre (1,000 to 29,999)",Core,Ontario,ON,"Wasaga Beach, ON","Wasaga Beach, ON, Canada",17808
Population centre,Waterford,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Waterford, ON","Waterford, ON, Canada",3132
Population centre,Watford,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Watford, ON","Watford, ON, Canada",1536
Population centre,Wawa,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Wawa, ON","Wawa, ON, Canada",2610
Population centre,Welland - Pelham,"Medium population centre (30,000 to 99,999)",Fringe,Ontario,ON,"Welland - Pelham, ON","Welland - Pelham, ON, Canada",62388
Population centre,Wellesley,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Wellesley, ON","Wellesley, ON, Canada",3246
Population centre,Wendover,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Wendover, ON","Wendover, ON, Canada",1785
Population centre,West Lorne,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"West Lorne, ON","West Lorne, ON, Canada",1337
Population centre,Wheatley,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Wheatley, ON","Wheatley, ON, Canada",2868
Population centre,Wiarton,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Wiarton, ON","Wiarton, ON, Canada",1989
Population centre,Wikwemikong,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Wikwemikong, ON","Wikwemikong, ON, Canada",1342
Population centre,Winchester,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Winchester, ON","Winchester, ON, Canada",2394
Population centre,Windsor,"Large urban population centre (100,000 or more)",Core,Ontario,ON,"Windsor, ON","Windsor, ON, Canada",287069
Population centre,Wingham,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,ON,"Wingham, ON","Wingham, ON, Canada",2934
Population centre,Woodstock,"Medium population centre (30,000 to 99,999)",Core,Ontario,ON,"Woodstock, ON","Woodstock, ON, Canada",40404
Population centre,Wyoming,"Small population centre (1,000 to 29,999)",Fringe,Ontario,ON,"Wyoming, ON","Wyoming, ON, Canada",2361
Population centre,Hawkesbury,"Small population centre (1,000 to 29,999)",Core,Ontario,ON,"Hawkesbury, ON","Hawkesbury, ON, Canada",11715
Population centre,Hawkesbury,"Small population centre (1,000 to 29,999)",Core,Quebec,QC,"Hawkesbury, QC","Hawkesbury, QC, Canada",11715
Population centre,Ottawa - Gatineau,"Large urban population centre (100,000 or more)",Core,Ontario,ON,"Ottawa - Gatineau, ON","Ottawa - Gatineau, ON, Canada",989567
Population centre,Ottawa - Gatineau,"Large urban population centre (100,000 or more)",Core,Quebec,QC,"Ottawa - Gatineau, QC","Ottawa - Gatineau, QC, Canada",989567
Population centre,Charlottetown,"Medium population centre (30,000 to 99,999)",Core,Prince Edward Island,PE,"Charlottetown, PE","Charlottetown, PE, Canada",44739
Population centre,Cornwall,"Small population centre (1,000 to 29,999)",Fringe,Prince Edward Island,PE,"Cornwall, PE","Cornwall, PE, Canada",2460
Population centre,Kensington,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Prince Edward Island,PE,"Kensington, PE","Kensington, PE, Canada",1562
Population centre,Montague,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Prince Edward Island,PE,"Montague, PE","Montague, PE, Canada",1834
Population centre,Summerside,"Small population centre (1,000 to 29,999)",Core,Prince Edward Island,PE,"Summerside, PE","Summerside, PE, Canada",13814
Population centre,Acton Vale,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,QC,"Acton Vale, QC","Acton Vale, QC, Canada",5399
Population centre,Alençon,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,QC,"Alençon, QC","Alençon, QC, Canada",1562
Population centre,Alma,"Small population centre (1,000 to 29,999)",Core,Quebec,QC,"Alma, QC","Alma, QC, Canada",21406
Population centre,Amos,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,QC,"Amos, QC","Amos, QC, Canada",10005
Population centre,Amqui,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,QC,"Amqui, QC","Amqui, QC, Canada",4511
