Incident ID,Article URL,Incident Description,Incident Date,Province,City or Region,Detailed Location,Incident Category,Gender of Victim(s),Name of Victim(s),Ethnic Community,Black/African/Caribbean,Central Asian,East Asian,Indigenous,Latin American,Middle Eastern,South Asian,Southeast Asian,Identity-Based,Context,Type of Incident,Notes
551,https://www.cbc.ca/news/canada/ottawa/black-professors-university-ottawa-town-hall-1.5367473,"More black profs needed at U of O, students say",2019-11-06,Ontario,Ottawa,,Non-Criminal,Male,,Black/African/Caribbean,,,,,,,,,,,,
552,https://www.cbc.ca/news/canada/nova-scotia/climate-change-indigenous-black-nova-scotia-poverty-race-1.5350495,Black and Indigenous voices often missing from climate change discussions,2019-11-07,Nova Scotia,,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",,,,First Nations,,,,,,Sports: Other,Harassment: Racial profiling,
553,https://www.tvo.org/article/how-this-18-year-old-is-fostering-multiculturalism-in-thunder-bay,How this 18-year-old is fostering multiculturalism in Thunder Bay,2019-11-07,Ontario,Thunder Bay,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",,,,,,,,,Religious discrimination: Anti-Semitism,,,
554,https://nationalpost.com/news/canada/don-cherry-hnic-you-people-hockey-coachs-corner,Complaints about Don Cherry’s ‘you people’ remark overwhelm broadcast standards body,2019-11-07,,,,Non-Criminal,Other/Unknown,,East Asian,,,Taiwan,,,,,,,,,
555,https://winnipeg.ctvnews.ca/winnipeg-mayor-calls-don-cherry-s-comments-profoundly-racist-1.4681725,Winnipeg mayor calls Don Cherry's comments 'profoundly racist,2019-11-07,Manitoba,Winnipeg,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",Nigeria,,,First Nations,,,,,,,,
556,https://www.thepostmillennial.com/comments-calling-hockey-players-white-boys-bullies-spark-backlash-on-the-social/,"Canadian TV host calls hockey players ‘white boys’ and ‘bullies’, sparks backlash",2019-11-08,,,,Non-Criminal,,,Southeast Asian,,,,,,,,,,Sports: Hockey,,
557,https://www.ctvnews.ca/canada/map-of-hate-publication-pinpoints-canadian-users-of-neo-nazi-site-iron-march-1.4703545,Map of hate: Publication pinpoints Canadian users of neo-Nazi site Iron March,2019-11-08,,,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",,,,Inuit,,,,,,Online: Social media,Hate speech: Other,
558,https://www.cbc.ca/news/politics/tasker-lynn-beyak-back-on-senate-payroll-1.5374559,Lynn Beyak is back on the Senate payroll after suspension over letters condemned as racist,2019-11-09,Ontario,,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,Religious discrimination: Islamophobia,Politics,Hate speech: Letter/flyer,
559,https://www.ctvnews.ca/canada/lawsuit-alleges-indigenous-soldier-faced-racism-bullying-before-his-suicide-1.4701622,"Lawsuit alleges Indigenous soldier faced racism, bullying before his suicide",2019-11-11,Manitoba,Winnipeg,,Criminal: Unknown,Male,,Indigenous,,,,,,,,,,,Harassment: Other,
560,https://edmonton.citynews.ca/2019/11/26/nhl-investigating-allegations-of-racial-slur-from-flames-head-coach-3/,NHL investigating allegations of racial slur from Flames head coach,2019-11-12,Alberta,Calgary,,Criminal: Unknown,"Female, Male",,Black/African/Caribbean,Ethiopia,,,,,,,,Sexism,,Hate speech: Other,
561,https://ottawa.ctvnews.ca/pembroke-gun-store-advertises-white-friday-sale-but-owner-insists-he-s-not-racist-1.4701434,"Pembroke gun store advertises 'White Friday' sale, but owner insists he's not racist",2019-11-12,Ontario,Pembroke,,Non-Criminal,Other/Unknown,,East Asian,,,,,,,,,,Healthcare/public health,Other,
562,https://www.cbc.ca/news/canada/montreal/human-rights-commission-racial-profiling-1.5369444,"Montreal police have no plans to end street checks, despite concerns",2019-11-12,Quebec,Montreal,,Non-Criminal,,,"Black/African/Caribbean, Indigenous, Middle Eastern",Antigua and Barbuda,,,First Nations,,Palestine,,,Religious discrimination: Anti-Semitism,Sports: Hockey,,
563,https://www.cbc.ca/news/canada/toronto/reaction-facebook-post-durham-regional-police-service-1.5375952,"Facebook post shared by ex-Durham officers just 'wrong,' Ontario minister says",2019-11-13,Ontario,Durham,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,Religious discrimination: Anti-Semitism,Online: Social media,Hate speech: Other,
564,https://globalnews.ca/news/6149683/nupge-indigenous-scholarship/,NUPGE launches probe over Indigenous scholarship recipient’s social media comments,2019-11-13,Nova Scotia,,,Criminal: Not charged,,,Indigenous,,,,First Nations,,,,,,Online: Social media,Vandalism,
565,https://bc.ctvnews.ca/smudging-demonstration-violated-girl-s-religious-rights-b-c-mother-says-in-lawsuit-1.4690589,"Smudging demonstration violated girl's religious rights, B.C. mother says in lawsuit",2019-11-13,British Columbia,Port Alberni,,Non-Criminal,,,Indigenous,,,,,,,,,,Protective services: Peace officers,Hate speech: Rally/protest,
566,https://www.vice.com/en_ca/article/8xww9a/edmonton-schools-durag-this-is-what-happens-when-you-try-to-fight-systemic-racism-in-canada,"An Edmonton writer is threatening to sue Rebel Media for defamation in light of post titled ""“Somali refugee crashes Catholic School Board meeting, alleging racist dress policy""",2019-11-14,Alberta,Edmonton,,Non-Criminal,,,Black/African/Caribbean,Somalia,,,,,,,,Xenophobia,Educational institute: Other,,
567,https://www.ctvnews.ca/health/toronto-area-rapper-blames-systemic-racism-for-months-of-misdiagnosis-1.4716013,Toronto-area rapper blames systemic racism for months of misdiagnosis,2019-11-14,Ontario,Toronto,,Non-Criminal,,,Black/African/Caribbean,Guinea,,,,,,,,,,,
568,https://o.canada.com/pmn/sports-pmn/reports-flames-fire-peters-after-allegations-of-racism/wcm/8c30f91c-fc15-42b8-a9e6-3baaf400444d,Reports: Flames fire Peters after allegations of racism,2019-11-15,Alberta,Calgary,,Criminal: Not charged,Male,,Black/African/Caribbean,South Sudan,,,,,,,,,,Hate speech: Other,
569,https://thetyee.ca/News/2019/12/06/Vancouver-School-Trustee-Anti-Hate-Motion-Vote/,Vancouver School Trustee’s Anti-Hate Motion Headed for Full Board Vote,2019-11-16,British Columbia,Vancouver,,Non-Criminal,Other/Unknown,,East Asian,,,,,,,,,"Religious discrimination: Islamophobia, Xenophobia","Educational institute: Other, Politics",Hate speech: Other,
570,https://www.cbc.ca/news/canada/calgary/navy-reservist-iron-march-data-1.5382424,Navy investigating reservist who encouraged fellow members of neo-Nazi web forum to enlist,2019-11-17,Alberta,Calgary,,Non-Criminal,,,Latin American,,,,,Cuba,,,,,"Online: Social media, Protective services: Military",,
571,https://www.cbc.ca/news/politics/project-cactus-kinsella-daisy-ppc-bernier-1.5372715,"Recordings reveal details of campaign to attack Maxime Bernier, PPC as racists before election",2019-11-18,,,,Non-Criminal,Other/Unknown,,East Asian,,,Taiwan,,,,,,Xenophobia,Politics,Vandalism,
572,https://www.saltwire.com/news/canada/racial-tensions-at-heart-of-community-meeting-following-controversial-windsor-halloween-display-384259/,Racial tensions at heart of community meeting following controversial Windsor Halloween display,2019-11-19,Ontario,Windsor,,Non-Criminal,"Female, Male",,Black/African/Caribbean,,,,,,,,,,,,
573,https://www.vice.com/en_ca/article/8xwwaa/neo-nazi-terror-group-harbouring-missing-ex-soldier-patrik-mathews-sources,Neo-Nazi Terror Group Harbouring Missing Ex-Soldier: Sources,2019-11-19,Manitoba,Winnipeg,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",,,,First Nations,,,,,Religious discrimination: Anti-Hinduism,"Politics, Protective services: Military",Harassment: Racial profiling,
574,https://montrealgazette.com/news/local-news/bell-canada-customer-ordered-to-pay-4000-for-intolerable-racist-conduct-toward-customer-service-agent,"Bell Canada customer ordered to pay $4,000 for 'intolerable racist conduct' toward customer service agent",2019-11-20,Quebec,Montreal,,Criminal: Unknown,,,"South Asian, Southeast Asian",,,,,,,Bangladesh,Philippines,"Religious discrimination: Islamophobia, Xenophobia",Protective services: Military,Hate speech: Imagery,
575,https://globalnews.ca/news/5757796/andrew-scheer-condemns-behaviour-and-racist-comments-video-toronto/,Woman in alleged racist assault video to be assessed at Toronto mental health hospital,2019-11-20,Ontario,Toronto,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,Healthcare/public health,Hate speech: Other,
576,https://globalnews.ca/news/5755173/ontario-court-peace-bond-far-right-figure/,Ontario court imposes peace bond against far-right figure over online threats,2019-11-20,Ontario,,,Non-Criminal,,,"South Asian, Southeast Asian",,,,,,,,,,Online: Other,,
577,https://www.citynews1130.com/2019/08/12/racist-tirade-on-ctrain-caught-on-video/,Racist tirade on CTrain caught on video,2019-11-21,Alberta,Calgary,,Non-Criminal,,,Middle Eastern,,,,,,,,,,,Hate speech: Other,
578,https://www.ctvnews.ca/canada/canadian-military-issues-new-ban-on-discriminatory-sexually-explicit-tattoos-1.4546293,"Canadian military issues new ban on discriminatory, sexually explicit tattoos",2019-11-21,Ontario,,,Non-Criminal,,,Middle Eastern,,,,,,Armenia,,,Religious discrimination: Islamophobia,Workplace,Vandalism,
579,https://www.narcity.com/news/ca/on/toronto/torontos-cactus-club-cafe-faces-accusations-of-discrimination-and-racism-by-local-dj,People Are Accusing Toronto's Cactus Club Cafe Of Enforcing Racist Policies,2019-11-22,Ontario,Toronto,,Non-Criminal,Other/Unknown,,Black/African/Caribbean,,,,,,,,,,Protective services: Security,Hate speech: Other,
580,https://www.thestar.com/vancouver/2019/08/13/indigenous-man-denied-a-place-on-the-bc-liver-transplant-list-alleges-alcohol-abstinence-policy-is-a-lethal-form-of-racism.html,Indigenous man denied spot on B.C. liver-transplant list calls alcohol abstinence policy a ‘lethal form of racism’,2019-11-22,British Columbia,Vancouver,,Criminal: Unknown,,,Indigenous,,,,First Nations,,,,,,Transit,Hate speech: Imagery,
581,https://beta.canada.com/pmn/news-pmn/canada-news-pmn/quebec-police-investigate-possible-hate-crime-after-excrement-left-on-storefront/wcm/e6381774-b185-402c-b856-576daf5612c6/amp/,Quebec police investigate possible hate crime after excrement left on storefront,2019-11-22,Quebec,,,Criminal: Charged,"Female, Male",,South Asian,,,,,,,India,,Religious discrimination: Islamophobia,,Vandalism,
582,https://www.tricitynews.com/news/hate-crimes-not-tolerated-in-coquitlam-says-coquitlam-rcmp-after-racist-letter-sent-1.23915971,"‘Hate crimes not tolerated in Coquitlam,’ says Coquitlam RCMP after racist letter sent",2019-11-25,British Columbia,Coquitlam,,Non-Criminal,,,South Asian,,,,,,,India,,,Protective services: Peace officers,Hate speech: Letter/flyer,
583,https://www.cbc.ca/news/indigenous/winnipeg-superstore-racial-profiling-1.5394777,Former Superstore security guard says staff routinely flag Indigenous shoppers as suspicious,2019-11-25,Manitoba,Winnipeg,,Criminal: Charged,Female,,Indigenous,,,,,,,,,,,Harassment: Racial profiling,
584,https://aptnnews.ca/2019/12/06/indigenous-women-denounce-devastating-random-street-checks-in-montreal/,Indigenous women denounce ‘devastating’ random street checks in Montreal,2019-11-26,Quebec,Montreal,,Criminal: Charged,,,Indigenous,,,,First Nations,,,,,Xenophobia,,Harassment: Racial profiling,
585,https://www.thepostmillennial.com/pull-the-trigger-children-dance-to-song-promoting-violence-at-mississauga-solidarity-event/,‘PULL THE TRIGGER’: Children dance to song promoting violence at Mississauga ‘solidarity’ event,2019-11-26,Ontario,Mississauga,,Non-Criminal,,,N/A,,,,,,,,,Religious discrimination: Anti-Semitism,,Hate speech: Other,
586,https://www.cbc.ca/news/canada/montreal/fred-christie-montreal-supreme-court-1.5390316,A civil rights group in Montreal is using the anniversary of a 1939 Supreme Court decision to seek more recognition for Fred Christie and the legal fight he mounted with the help of Montreal's black community,2019-11-27,Quebec,Montreal,,Non-Criminal,Female,,Black/African/Caribbean,,,,,,,,,,Environmental racism,,
587,https://www.huffingtonpost.ca/entry/manjot-bains-trudeau-blackface_ca_5df15070e4b01e0f29593ae9,Government Anti-Racism Employee Says She Was Punished For Talking About PM's Blackface,2019-11-27,British Columbia,Vancouver,,Criminal: Not charged,,,"Black/African/Caribbean, South Asian",Nigeria,,,,,,,,Religious discrimination: Islamophobia,Protective services: Security,Hate speech: Other,
588,https://www.cbc.ca/news/politics/transport-canada-offensive-email-no-fly-list-1.5389058,Transport Canada investigates 'racist' song shared in no-fly list office - 10 years after the fact,2019-11-27,Ontario,Toronto,,Criminal: Charged,,,"Central Asian, Middle Eastern",,Afghanistan,,,,,,,"Religious discrimination: Anti-Sikhism, Religious discrimination: Islamophobia",,Hate speech: Other,
589,https://www.cbc.ca/news/canada/windsor/indigenous-patient-racist-discrimination-windsor-regional-hospital-1.5393437,Indigenous patient 'disgusted' by racist treatment at Windsor Regional Hospital,2019-11-29,Ontario,Windsor,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,Religious discrimination: Anti-Semitism,Healthcare/public health,Hate speech: Other,
590,https://www.cbc.ca/news/canada/newfoundland-labrador/racist-comments-pal-flight-1.5390513,2 men banned from PAL flights after making racist remarks to Indigenous passengers,2019-11-29,Newfoundland and Labrador,Happy Valley-Goose Bay,,Non-Criminal,,,Indigenous,,,,,,,,,,Educational institute: Post-secondary,Hate speech: Other,
591,https://www.cbc.ca/news/canada/saskatoon/id-canada-posters-1.5391164,"Group recruiting in Saskatoon supports white supremacy, experts say",2019-12-04,Saskatchewan,Saskatoon,,Non-Criminal,,,Central Asian,,,,,,,,,Xenophobia,Politics,Harassment: Other,
592,https://www.cbc.ca/news/canada/nova-scotia/nova-scotia-teen-racist-comments-game-hockey-task-force-1.5392103,Hockey Nova Scotia forming task force after racial slurs hurled at teen player,2019-12-04,Nova Scotia,Whycocomagh,,Criminal: Not charged,,,Indigenous,,,,Inuit,,,,,,Sports: Hockey,Hate speech: Other,
593,https://www.vancouverisawesome.com/video/video-tru-students-tackle-local-racism-in-mini-documentary-1949720,TRU students tackle local racism in mini-documentary,2019-12-04,British Columbia,Kamloops,,Non-Criminal,,,Middle Eastern,,,,,,,,,Anti-2SLGBTQIA+,,Harassment: Racial profiling,
594,https://www.saltwire.com/news/provincial/former-halifax-mooseheads-captain-trey-lewis-opens-up-about-being-target-of-racism-385731/,Former Halifax Mooseheads captain Trey Lewis opens up about being target of racism,2019-12-04,Nova Scotia,Halifax,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,Religious discrimination: Other,,Hate speech: Other,
595,https://www.cbc.ca/news/canada/british-columbia/tru-student-backlash-free-secwepemc-parking-petition-1.5389991,Indigenous student faces racist backlash for petition saying Secwepemc students should park free at university,2019-12-05,British Columbia,Kamloops,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,,Educational institute: Post-secondary,Hate speech: Other,
596,https://www.huffingtonpost.ca/entry/harjit-sajjan-canada-military-racism_ca_5d548505e4b0d8840fee4c27,Defence Minister Harjit Sajjan Calls For Investigation Into Racism In Canadian Military,2019-12-06,Ontario,Ottawa,,Criminal: Charged,Other/Unknown,,East Asian,,,,,,,,,,Protective services: Military,Hate speech: Other,
597,https://beta.canada.com/pmn/news-pmn/canada-news-pmn/profiling-class-action-against-montreal-police-a-victory-for-justice-group/wcm/50e6c4ca-a473-42c6-9d2f-68d87570f114/amp/,Profiling class action against Montreal police,2019-12-06,Quebec,Montreal,,Criminal: Charged,,,Black/African/Caribbean,,,,,,,,,Religious discrimination: Anti-Semitism,,Harassment: Racial profiling,
598,https://calgaryherald.com/news/local-news/controversial-calgary-candidate-facing-forgery-charges-from-2015-federal-election,Controversial Calgary candidate facing forgery charges from 2015 federal election,2019-12-08,Alberta,Calgary,,Criminal: Charged,Male,,Indigenous,,,,,,,,,Religious discrimination: Islamophobia,Online: Social media,,
599,https://www.ctvnews.ca/canada/canadian-armed-forces-investigating-reservist-for-potential-racist-activities-1.4557639,Canadian Armed Forces investigating reservist for potential racist activities,2019-12-08,Manitoba,Winnipeg,,Criminal: Unknown,,,"Black/African/Caribbean, Indigenous",,,,,,,,,Religious discrimination: Anti-Sikhism,Protective services: Military,Hate speech: Other,
600,https://www.comoxvalleyrecord.com/news/cricket-players-get-interrupted-by-racist-remark-in-courtenay/,Cricket players get interrupted by racist remark in Courtenay,2019-12-09,British Columbia,Courtenay,,Non-Criminal,Other/Unknown,,South Asian,,,,,,,India,,Religious discrimination: Anti-Hinduism,Environmental racism,Hate speech: Other,
601,https://www.vice.com/en_ca/article/pa7bw7/james-sears-editor-of-canadas-most-racist-paper-ygets-year-in-prison-for-promoting-hate-your-ward-news,Editor of Canada’s Most Racist Paper Gets Year in Prison for Promoting Hate,2019-12-10,Ontario,Toronto,,Criminal: Unknown,Other/Unknown,,East Asian,,,,,,,,,Religious discrimination: Islamophobia,,Hate speech: Other,
602,https://globalnews.ca/news/5804076/peterborough-bridge-graffiti-hate-crime/,Peterborough police treating graffiti found on bridge as hate crime,2019-12-10,Ontario,Peterborough,,Criminal: Unknown,,,Central Asian,,,,,,,,,Xenophobia,,Vandalism,
603,https://pressprogress.ca/canadian-white-nationalist-party-kicked-out-of-registered-office-inside-the-toronto-star-building/,Canadian White Nationalist Party Kicked Out Of Registered Office Inside the Toronto Star Building,2019-12-11,Ontario,Toronto,,Non-Criminal,,,"Central Asian, Middle Eastern",,Uzbekistan,,,,,,,,,,
604,https://www.nationalobserver.com/2019/08/22/news/he-used-work-site-promoted-racists-now-he-edits-canadian-news-outlet,He used to work for a site that promoted racists — now he edits a Canadian news outlet,2019-12-11,Ontario,,,Non-Criminal,,,Middle Eastern,,,,,,Israel,,,"Religious discrimination: Islamophobia, Xenophobia",,Hate speech: Other,
605,https://www.baytoday.ca/local-news/end-to-long-standing-gender-based-discrimination-could-see-up-to-450000-become-eligible-for-indian-status-1652660,"End to long-standing gender-based discrimination could see up to 450,000 become eligible for Indian status",2019-12-12,Ontario,Ottawa,,Non-Criminal,,,Indigenous,,,,,,,,,Sexism,,,
606,https://www.cbc.ca/news/canada/montreal/human-rights-tribunal-montreal-police-1.5255877,Ruling that found Montreal police committed ethnic profiling thrown out over delays,2019-12-12,Quebec,Montreal,,Non-Criminal,Other/Unknown,,East Asian,,,North Korea,,,,,,"Religious discrimination: Islamophobia, Sexism",Healthcare/public health,Harassment: Racial profiling,
607,https://www.thechronicleherald.ca/news/local/peoples-party-of-canada-billboard-in-halifax-sparks-outcry-344685/,People’s Party of Canada billboard in Halifax sparks outcry,2019-12-13,Nova Scotia,Halifax,,Non-Criminal,Other/Unknown,,East Asian,,,China,,,,,,Xenophobia,,Hate speech: Other,
608,https://www.cbc.ca/news/canada/british-columbia/police-investigating-racist-rant-richmond-parking-lot-1.5258802,"Police investigate racist rant in Richmond, B.C., parking lot captured on video",2019-12-13,British Columbia,Richmond,,Non-Criminal,Male,,Indigenous,,,,First Nations,,,,,Religious discrimination: Anti-Semitism,,Hate speech: Other,
609,https://www.kamloopsmatters.com/local-news/racist-tirade-galvanizes-bc-soccer-camp-1654966,Racist tirade galvanizes B.C. soccer camp,2019-12-13,British Columbia,Coquitlam,,Non-Criminal,Female,,Black/African/Caribbean,Antigua and Barbuda,,,,,,,,,,Hate speech: Other,
610,https://www.cbc.ca/news/canada/edmonton/alberta-government-drops-anti-racism-focus-of-popular-grant-1.5394869,Alberta government drops anti-racism focus of community grant,2019-12-13,Alberta,,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",,,,,,,,,Anti-2SLGBTQIA+,Politics,Harassment: Other,
611,https://www.cbc.ca/news/canada/nova-scotia/bible-hill-tim-hortons-racism-business-diversity-committee-1.5402255,Bible Hill woman subjected to racist remarks wants businesses to do more,2019-12-15,Nova Scotia,Bible Hill,,Non-Criminal,Female,,South Asian,,,,,,,India,,,,Harassment: Other,
612,https://www.theglobeandmail.com/canada/article-an-indigenous-mans-death-in-thunder-bay-triggered-a-historic-probe-of/,"An Indigenous man’s death in Thunder Bay triggered a historic probe of policing and racism. A year later, his family awaits answers",2019-12-15,Ontario,Thunder Bay,,Non-Criminal,Other/Unknown,,Indigenous,,,,,,,,,,Protective services: Military,,
613,https://www.vice.com/en_ca/article/akwz7g/canadian-military-investigating-soldier-after-posts-on-neo-nazi-forum,Canadian Military Investigating Soldier After Posts on Neo-Nazi Forum,2019-12-17,British Columbia,,,Non-Criminal,,,N/A,,,,,,,,,,"Online: Social media, Protective services: Military",Hate speech: Other,
614,https://www.cbc.ca/news/canada/british-columbia/vancouver-school-board-anti-racism-discrimination-policy-1.5398624,"Parents welcome school board's approval of anti-racism policy, but motion's delay criticized",2019-12-17,British Columbia,Vancouver,,Non-Criminal,"Female, Male",,South Asian,,,,,,,India,,"Religious discrimination: Anti-Semitism, Religious discrimination: Islamophobia",Educational institute: Other,,
615,https://www.cbc.ca/news/canada/nova-scotia/logan-prosper-returns-to-the-ice-1.5397093,Mi'kmaw hockey player returns to ice after racist taunts ; players on both teams wore red tape on their sticks to raise awareness about racism,2019-12-17,Nova Scotia,Whycocomagh,,Non-Criminal,,,"South Asian, Southeast Asian",,,,,,,Pakistan,Laos,,Sports: Hockey,,
616,https://www.cbc.ca/news/canada/edmonton/school-board-lifts-ban-on-mother-in-do-rag-feud-1.5400150,"School board lifts ban on mother in do-rag feud, denies conduct was racially motivated",2019-12-18,Alberta,Edmonton,,Non-Criminal,Female,,Black/African/Caribbean,South Sudan,,,,,,,,Religious discrimination: Anti-Sikhism,Educational institute: Other,Harassment: Racial profiling,
617,https://www.cbc.ca/news/canada/british-columbia/elite-vancouver-private-school-failed-to-stop-student-bullying-says-b-c-supreme-court-claim-1.5398410,"Elite Vancouver private school failed to stop student bullying, says B.C. Supreme Court claim",2019-12-19,British Columbia,Vancouver,,Non-Criminal,,,"South Asian, Southeast Asian",,,,,,,India,,Anti-2SLGBTQIA+,Educational institute: Other,,
618,https://www.stcatharinesstandard.ca/news-story/9841132-hamilton-woman-in-racist-boxing-day-parking-lot-rant-to-appear-in-court-in-march/,Hamilton woman charged in connection with racist rant caught on video in parking lot,2019-12-20,Ontario,Niagara,,Criminal: Unknown,,,"Central Asian, Middle Eastern",,,,,,Palestine,,,Religious discrimination: Other,Public space,"Harassment: Other, Hate speech: Other",
619,https://globalnews.ca/news/6358053/winnipeg-artist-reacts-with-love-after-buyer-deliberately-destroys-painting/,Winnipeg artist reacts with love after buyer deliberately destroys painting,2019-12-21,Manitoba,Winnipeg,,Non-Criminal,,,South Asian,,,,,,,,,,,Hate speech: Other,
620,https://www.thepeterboroughexaminer.com/news-story/9793216-peterborough-mayor-wants-white-nationalist-group-s-posters-removed/,Peterborough mayor wants white nationalist group’s posters removed,2019-12-21,Ontario,Peterborough,,Non-Criminal,,,N/A,,,,,,,,,"Religious discrimination: Islamophobia, Xenophobia",Politics,,
621,https://winnipeg.citynews.ca/2019/12/30/family-of-inuk-singer-kelly-fraser-remembers-incredibly-kind-performer/,"Inuk singer-songwriter dies by suicide as a result of PTSD from years of childhood traumas, racism and persistent cyber-bullying",2019-12-23,Manitoba,Winnipeg,,Non-Criminal,Male,,Indigenous,,,,,,,,,,Politics,,
622,https://aptnnews.ca/2019/12/28/racism-is-alive-and-well-mikmaq-fishermen-vow-to-be-back-on-the-water-after-boat-sunk/,‘Racism is alive and well’: Mi’kmaq fishermen vow to be back on the water after boat sunk,2019-12-23,Nova Scotia,Cape Breton,,Non-Criminal,Female,,Indigenous,,,,First Nations,,,,,,Environmental racism,Vandalism,
623,https://www.cbc.ca/news/canada/british-columbia/bc-gabriola-island-jewish-camp-graffiti-1.5411266,Jewish summer camp hit by 'disappointing and disturbing' anti-Semitic graffiti on B.C. island,2019-12-24,British Columbia,Gabriola Island,,Criminal: Charged,,,Central Asian,,Afghanistan,,,,,,,Religious discrimination: Anti-Semitism,,Vandalism,
624,https://www.cbc.ca/news/canada/calgary/calgary-unprovoked-attack-hate-crime-charges-1.5413054,"Unprovoked New Year's Day attack could be hate crime, say Calgary police",2019-12-28,Alberta,Calgary,,Criminal: Charged,,,N/A,,,,,,,,,Religious discrimination: Islamophobia,,Harassment: Other,
625,https://www.theglobeandmail.com/canada/article-ontario-court-of-appeal-unanimously-rules-against-closed-police/,Ontario Court of Appeal unanimously rules to reconsider closed police hearing in death of Thunder Bay man,2019-12-30,Ontario,Thunder Bay,,Criminal: Unknown,Other/Unknown,,Indigenous,,,,,,,,,,,Hate speech: Rally/protest,
626,https://www.cbc.ca/news/canada/hamilton/cultural-assessment-samson-aristor-1.5404479,No money for 'race assessment' delays sentencing in Hamilton murder case,2019-12-30,Ontario,Hamilton,,Criminal: Not charged,"Female, Male",,Black/African/Caribbean,,,,,,,,,,Environmental racism,,
627,https://globalnews.ca/news/6322041/nshrc-rescinds-award-rana-zaman/,Nova Scotia Human Rights Commission formally rescinds award presented to Rana Zaman,2019-12-30,Nova Scotia,,,Non-Criminal,,,Middle Eastern,,,,,,"Israel, Palestine",,,,Politics,,
628,https://www.ctvnews.ca/canada/indigenous-couple-say-they-were-racially-profiled-at-michaels-store-1.4740531,Indigenous couple say they were racially profiled at Michaels store,2019-12-31,Manitoba,Winnipeg,,Criminal: Charged,,,Indigenous,,,,First Nations,,,,,Religious discrimination: Islamophobia,,Harassment: Racial profiling,
629,https://www.cbc.ca/news/canada/london/london-family-house-egged-1.5407240,London family fearful after house gets egged for third time,2020-01-02,Ontario,London,,Non-Criminal,"Female, Male",,South Asian,,,,,,,India,,Religious discrimination: Anti-Hinduism,Politics,Vandalism,
630,https://www.cbc.ca/news/canada/montreal/kenrick-mcrae-quebec-police-ethics-committeee-1.5407049,"Black man's arrest was unlawful and racially motivated, Quebec's police ethics committee rules",2020-01-03,Quebec,Montreal,,Criminal: Charged,,,Black/African/Caribbean,,,,,,,,,,Workplace,Harassment: Racial profiling,
631,https://www.kamloopsmatters.com/national-sports/forge-fc-assistant-coach-to-appeal-suspension-denying-allegations-of-racism-1661854,"FC assistant coach to appeal suspension, denying allegations of racism",2019-08-27,Ontario,Toronto,,Criminal: Unknown,,,Middle Eastern,,,,,,,,,Religious discrimination: Other,,Hate speech: Other,
632,https://calgaryherald.com/news/local-news/very-racist-and-hurtful-groups-slam-anti-immigration-billboard-seen-in-calgary-across-canada,Anti-immigration billboards denounced in Calgary,2019-08-26,Alberta,Calgary,,Non-Criminal,,,Southeast Asian,,,,,,,,Philippines,Xenophobia,Politics,Hate speech: Other,
633,https://www.cbc.ca/sports/quebec-baseball-racism-1.5264550,Quebec players taunted with racial slurs at national baseball championships in N.B.,2019-08-29,New Brunswick,,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,Anti-2SLGBTQIA+,Online: Social media,Hate speech: Other,
634,https://www.huffingtonpost.ca/entry/gurratan-singh_ca_5d6d4044e4b0110804530b40,Brampton MPP Gurratan Singh Calls Out Agitator For Islamophobic Tirade,2019-09-02,Ontario,Toronto,,Non-Criminal,"Female, Male",,South Asian,,,,,,,India,,Religious discrimination: Islamophobia,Politics,Hate speech: Other,
635,https://www.cbc.ca/news/canada/toronto/dennis-flynn-park-toronto-police-anti-muslim-graffiti-sign-1.5267436,Toronto police investigate anti-Muslim graffiti on Etobicoke park sign,2019-09-01,Ontario,Toronto,,Criminal: Unknown,,,Middle Eastern,,,,,,,,,Religious discrimination: Islamophobia,,Vandalism,
636,https://cfjctoday.com/2019/09/01/liberals-drop-candidate-in-montreal-riding-over-comments-described-as-anti-semitic-2/,Liberals drop candidate in Montreal riding over comments described as anti-Semitic,2019-09-01,Quebec,Montreal,,Non-Criminal,Other/Unknown,,East Asian,,,,,,,,,Religious discrimination: Anti-Semitism,Politics,Hate speech: Other,
637,https://www.cbc.ca/news/politics/ndp-racism-new-brunswick-green-party-elizabeth-may-jonathan-richardson-1.5269606,Elizabeth May says there's 'no room' for racism in Green Party after NDP defector's comments,2019-09-04,New Brunswick,,,Non-Criminal,,,Middle Eastern,,,,,,Israel,,,Religious discrimination: Islamophobia,Politics,Hate speech: Other,
